"Sex","Age","P_ID","Questions","Value"
1,50,974184,"TV04","華やかだ、舞う"
2,25,813515,"TV04","楽しい、明るい"
1,40,268448,"TV04","うつくしい、わからない"
1,41,619118,"TV04","綺麗、活発だ"
2,53,379880,"TV04","美しい、回る、軽やかだ"
1,51,697066,"TV04","ダンス、躍動"
2,43,695517,"TV04","かわいい、綺麗"
1,36,450316,"TV04","まわる、めぐる、飛び跳ねる"
2,47,842234,"TV04","舞う、飛ぶ、動く"
1,57,992477,"TV04","美しい、妖しい"
1,43,864699,"TV04","空に舞う　美しい　綺麗に"
2,47,517718,"TV04","ヒラヒラしている、舞っている"
2,39,453182,"TV04","きれいだ、美しい"
2,38,737833,"TV04","華麗な、綺麗な"
2,49,650129,"TV04","舞う、踊る、羽ばたく"
1,35,132018,"TV04","踊っている、軽い"
1,30,372370,"TV04","妖艶な、舞う、美しい"
2,46,417966,"TV04","忙しい、細かい、キレイ"
1,39,541460,"TV04","飛ぶ、踊る"
2,38,919589,"TV04","美しい、きれい"
1,63,783967,"TV04","舞う、美しい、優雅な"
2,29,372821,"TV04","舞う、飛ぶ、止まらない"
1,45,848301,"TV04","ひらひらと、舞う"
1,37,343791,"TV04","優雅、飛び回る"
1,55,171098,"TV04","綺麗、舞う"
1,34,615315,"TV04","美しい、見入る"
1,30,211056,"TV04","艶やかだ、美しい"
1,33,837258,"TV04","美しい、可愛い、華やかな"
1,40,236761,"TV04","軽い、美しい"
1,32,479382,"TV04","華麗に舞う、美しい"
1,31,177114,"TV04","可愛い、美しい、綺麗"
2,35,487568,"TV04","舞う、身軽だ"
1,39,131627,"TV04","綺麗だ、明るい"
2,30,214891,"TV04","舞う、優雅だ"
2,42,938806,"TV04","元気な、きれい"
1,51,459279,"TV04","可愛い、妖しい、儚い"
2,42,618221,"TV05","流れる、とめどない"
2,38,854398,"TV05","忙しい、大変だ、厳しい"
1,44,596296,"TV05","多い、大きい、怖い"
1,28,714743,"TV05","流れる、止まらない"
1,44,966384,"TV05","あふれている、こぼれる、押し寄せる"
2,28,619505,"TV05","速い、一瞬だ"
1,44,926083,"TV05","進む、過ぎる、溢れる"
1,25,643750,"TV05","溢れる、動く、流れる"
2,30,834992,"TV05","多い、長い、尽きない"
2,46,596744,"TV05","突然の、残酷"
1,34,229654,"TV05","激しい、勢いがある、攻撃的な"
1,43,687473,"TV05","忙しい、苦しい"
1,45,214246,"TV05","速い、止まらない、前進だ"
1,50,974184,"TV05","溢れる、待たない"
2,25,813515,"TV05","速い、すぐに時間が過ぎる"
1,40,268448,"TV05","たくさん、多い"
1,41,619118,"TV05","止まらない、多い"
2,53,379880,"TV05","流れる、急だ、進み続ける"
1,51,697066,"TV05","あふれる、流れる、"
2,43,695517,"TV05","沢山、多い"
1,36,450316,"TV05","止められない、押し寄せる、呑み込む"
2,47,842234,"TV05","あっという間だ、過ぎ去る、早い"
1,57,992477,"TV05","止められない、形がない"
1,43,864699,"TV05","止められない　押し寄せる　絶え間なき"
2,47,517718,"TV05","流れる、怒涛のようだ"
2,39,453182,"TV05","怖い、溢れる"
2,38,737833,"TV05","流れゆく、儚げ"
2,49,650129,"TV05","流れる、止まらない、進む"
1,35,132018,"TV05","押し寄せる、流れる、激しい"
1,30,372370,"TV05","飲み込む、膨大な"
2,46,417966,"TV05","激しい、大きい、慌しい"
1,39,541460,"TV05","流れる、過ぎる"
2,38,919589,"TV05","勢い、一瞬"
1,63,783967,"TV05","流れる、通り過ぎる、止まらない"
2,29,372821,"TV05","無限だ、溢れる"
1,45,848301,"TV05","あっという間に、逆らえない"
1,37,343791,"TV05","溢れている、絶え間ない"
1,55,171098,"TV05","止まらない、戻らない"
1,34,615315,"TV05","流れる、溢れる"
1,30,211056,"TV05","あふれる、多い"
1,33,837258,"TV05","いっぱい、大量の、溢れる"
1,40,236761,"TV05","早い、怖い、"
1,32,479382,"TV05","押し寄せる、止められない"
1,31,177114,"TV05","大きい、長い、怖い"
2,35,487568,"TV05","流れる、速い"
1,39,131627,"TV05","はやい、流れ込んだ"
2,30,214891,"TV05","激しい、とめどない"
2,42,938806,"TV05","あふれる、乱雑な"
1,51,459279,"TV05","流れる、過ぎ去る、制御不能な"
2,42,618221,"TV06","暴れる、混乱する"
2,38,854398,"TV06","うるさい、暴れる、厳しい"
1,44,596296,"TV06","危険、あっという間に、怖い"
1,28,714743,"TV06","止まらない、終わらない"
1,44,966384,"TV06","激しい、恐ろしい、一時的な"
2,28,619505,"TV06","荒れる、破壊する"
1,44,926083,"TV06","醜い、激しい、うるさい"
1,25,643750,"TV06","激しい、怖い"
2,30,834992,"TV06","激しい、怖い"
2,46,596744,"TV06","災害、危険、テロ"
1,34,229654,"TV06","恐ろしい、怖い、不安な"
1,43,687473,"TV06","凄まじい、恐ろしい"
1,45,214246,"TV06","強い、激しい、恐ろしい"
1,50,974184,"TV06","騒がしい、暴れる、壊れる"
2,25,813515,"TV06","怖い、怪我をする"
1,40,268448,"TV06","やかましい、こわい"
1,41,619118,"TV06","強い、荒々しい"
2,53,379880,"TV06","恐ろしい、強い、脅威的だ"
1,51,697066,"TV06","吹き荒れる。暴れる、粗野"
2,43,695517,"TV06","怖い、暴力"
1,36,450316,"TV06","危ない、荒れ狂う、乱す"
2,47,842234,"TV06","吹き荒れる、激しい、台風だ"
1,57,992477,"TV06","激しい、ひどい"
1,43,864699,"TV06","激しい　ぶつかり合う　収まりどころを見失った"
2,47,517718,"TV06","押し寄せる、怒っている"
2,39,453182,"TV06","荒々しい、暗い"
2,38,737833,"TV06","暴力的な、危険な"
2,49,650129,"TV06","うねる、狂う、怒る"
1,35,132018,"TV06","激しい、恐い"
1,30,372370,"TV06","刹那的な、荒れる"
2,46,417966,"TV06","激しい、凄まじい、怒り"
1,39,541460,"TV06","暴れる、荒ぶる"
2,38,919589,"TV06","激しい、危険"
1,63,783967,"TV06","荒れる、襲い掛かる、破壊する"
2,29,372821,"TV06","止まらない、荒い、激しい"
1,45,848301,"TV06","激しい、抑えることができない"
1,37,343791,"TV06","防げない、収まらない、嘘みたいだ"
1,55,171098,"TV06","荒れる、壊す"
1,34,615315,"TV06","恐ろしい、騒がしい"
1,30,211056,"TV06","激しい、破壊する"
1,33,837258,"TV06","乱暴な、食い荒らす、乱れる"
1,40,236761,"TV06","強い、怖い、短い"
1,32,479382,"TV06","止められない、恐怖"
1,31,177114,"TV06","大きい、怖い、うるさい"
2,35,487568,"TV06","吹きすさぶ、荒れる、危ない"
1,39,131627,"TV06","怖い、恐ろしい"
2,30,214891,"TV06","激しい、危険だ"
2,42,938806,"TV06","困難な、大きい"
1,51,459279,"TV06","抗えない、暴力的な、悲しい"
2,42,618221,"TV07","痛い、鋭い"
2,38,854398,"TV07","厳しい、辛い、息苦しい"
1,44,596296,"TV07","怖い、暗い、きつい"
1,28,714743,"TV07","女々しい、弱い"
1,44,966384,"TV07","切る、鋭い、痛い"
2,28,619505,"TV07","弱々しい、不憫だ"
1,44,926083,"TV07","攻撃する、責められる、鋭い"
1,25,643750,"TV07","鋭い、尖っている"
2,30,834992,"TV07","鋭い、厳しい"
2,46,596744,"TV07","容赦なく、苦痛な"
1,34,229654,"TV07","必要な、痛そうな"
1,43,687473,"TV07","冷たい、苦しい"
1,45,214246,"TV07","鋭い、冷たい、硬い"
1,50,974184,"TV07","痛い、切れる"
2,25,813515,"TV07","痛い、怖い"
1,40,268448,"TV07","やさしい、いたい"
1,41,619118,"TV07","冷たい、鋭い"
2,53,379880,"TV07","辛い、厳しい、怖い"
1,51,697066,"TV07","切り刻む、鋭利、"
2,43,695517,"TV07","鋭い、怖い"
1,36,450316,"TV07","鋭い、痛い、暴く"
2,47,842234,"TV07","突き刺す、冷たい、容赦ない"
1,57,992477,"TV07","失礼だ、うそくさい"
1,43,864699,"TV07","鋭い　傷つける"
2,47,517718,"TV07","鋭い、えぐるようだ"
2,39,453182,"TV07","鋭い、固い"
2,38,737833,"TV07","騒がしさ、挑戦的な"
2,49,650129,"TV07","鋭い、切る、刺さる"
1,35,132018,"TV07","刺す、痛い"
1,30,372370,"TV07","切る、開く"
2,46,417966,"TV07","冷たい、鋭い、痛い"
1,39,541460,"TV07","女々しい、鬱陶しい"
2,38,919589,"TV07","するどい、切れ味"
1,63,783967,"TV07","傷つける、鋭い"
2,29,372821,"TV07","鋭い、辛い"
1,45,848301,"TV07","鋭い、痛々しい"
1,37,343791,"TV07","改革だ、発端、切り込み"
1,55,171098,"TV07","膿を出す、傷付ける"
1,34,615315,"TV07","鋭い、切れる"
1,30,211056,"TV07","鋭い、切れる"
1,33,837258,"TV07","鋭い、刺さる、抉りとる"
1,40,236761,"TV07","傷つく、痛い"
1,32,479382,"TV07","解剖、痛々しい"
1,31,177114,"TV07","痛い、怖い、鋭い"
2,35,487568,"TV07","傷つける、尖っている"
1,39,131627,"TV07","嫌だ、おかしい"
2,30,214891,"TV07","切り込む、鋭い"
2,42,938806,"TV07","切れる、あざやかだ"
1,51,459279,"TV07","鋭い、適切な、痛烈な"
2,42,618221,"TV08","危険な、唐突な"
2,38,854398,"TV08","危険だ、破壊的だ"
1,44,596296,"TV08","危ない、怖い、不安"
1,28,714743,"TV08","燃える、終わる、消える"
1,44,966384,"TV08","危険な、燃える、爆発する"
2,28,619505,"TV08","短い、速い"
1,44,926083,"TV08","臭い、怖い、飛び散る"
1,25,643750,"TV08","怖い、危険だ"
2,30,834992,"TV08","目に見えない、危険だ"
2,46,596744,"TV08","危険物、害、迷惑"
1,34,229654,"TV08","的確な、面白い、疑惑的な"
1,43,687473,"TV08","危ない、怖い"
1,45,214246,"TV08","危険だ、危ない、恐ろしい"
1,50,974184,"TV08","くさい、弾ける"
2,25,813515,"TV08","悪い、怖い"
1,40,268448,"TV08","こわい、わからない"
1,41,619118,"TV08","臭い、危ない"
2,53,379880,"TV08","危険だ、不健康だ、恐ろしい"
1,51,697066,"TV08","爆発、タイマー、殺戮"
2,43,695517,"TV08","有害、体に悪そう、毒"
1,36,450316,"TV08","迫る、窮する、恐ろしい"
2,47,842234,"TV08","悪だ、不健康だ、良くない"
1,57,992477,"TV08","けずる、煙たい"
1,43,864699,"TV08","時を刻む　健康の　人を陥れる"
2,47,517718,"TV08","爆発する、蝕む"
2,39,453182,"TV08","怖い、暗い"
2,38,737833,"TV08","危険だ、不健康さ"
2,49,650129,"TV08","燃える、減る、燻る"
1,35,132018,"TV08","壊れる、危ない"
1,30,372370,"TV08","病む、危険な"
2,46,417966,"TV08","怖い、危険だ、悪い"
1,39,541460,"TV08","点く、燃える"
2,38,919589,"TV08","害悪、危険、死ぬ"
1,63,783967,"TV08","恐ろしい、潜んでいる、隠れている"
2,29,372821,"TV08","不健康だ、脅かす"
1,45,848301,"TV08","病的な、蝕む"
1,37,343791,"TV08","有害、傷つける、危険だ"
1,55,171098,"TV08","病気、不健康"
1,34,615315,"TV08","危険な、刻々と"
1,30,211056,"TV08","むしばむ、着実だ"
1,33,837258,"TV08","危険な、怖い"
1,40,236761,"TV08","悪い、怖い"
1,32,479382,"TV08","体に悪い、痛い"
1,31,177114,"TV08","怖い、危ない、うるさい"
2,35,487568,"TV08","危ない、有害だ"
1,39,131627,"TV08","おかしい、危険だ"
2,30,214891,"TV08","危険だ、害がある"
2,42,938806,"TV08","怖い、迷惑だ"
1,51,459279,"TV08","警告する、合理的な、妥当な"
2,42,618221,"TV09","丸い、小さい"
2,38,854398,"TV09","綺麗だ、美しい、丸い"
1,44,596296,"TV09","丸い、素敵、輝いている"
1,28,714743,"TV09","澄み渡る、小さい"
1,44,966384,"TV09","みずみずしい、白い、美しい"
2,28,619505,"TV09","流れる、美しい"
1,44,926083,"TV09","白い、硬い、高価だ"
1,25,643750,"TV09","儚い、白い、美しい"
2,30,834992,"TV09","きれい、清々しい、高価"
2,46,596744,"TV09","装飾品、芸術、透明"
1,34,229654,"TV09","綺麗、美しい、繊細"
1,43,687473,"TV09","美しい、冷たい"
1,45,214246,"TV09","眩しい、透明だ、美しい"
1,50,974184,"TV09","清潔だ、透き通る"
2,25,813515,"TV09","繊細、美しい"
1,40,268448,"TV09","きれい、少ない"
1,41,619118,"TV09","美しい、脆い、輝く"
2,53,379880,"TV09","小さい、儚い、綺麗だ"
1,51,697066,"TV09","儚い、しずく"
2,43,695517,"TV09","白い、透明"
1,36,450316,"TV09","まるい、なめらか、小さい"
2,47,842234,"TV09","きらきらしている、光り輝く、きれいだ"
1,57,992477,"TV09","美しい、妖しい"
1,43,864699,"TV09","綺麗な　丸い"
2,47,517718,"TV09","零れ落ちる、玉のようだ"
2,39,453182,"TV09","きれいだ、美しい"
2,38,737833,"TV09","美しさ、見惚れる"
2,49,650129,"TV09","美しい、輝く、光る"
1,35,132018,"TV09","美しい、輝いている"
1,30,372370,"TV09","美しい、映る、小さい"
2,46,417966,"TV09","丸い、美しい、脆い"
1,39,541460,"TV09","輝く、丸い"
2,38,919589,"TV09","美しい、神秘的"
1,63,783967,"TV09","丸い、輝く、美しい"
2,29,372821,"TV09","小さい、貴重だ"
1,45,848301,"TV09","光り輝く、透明の"
1,37,343791,"TV09","丸い、美しい、"
1,55,171098,"TV09","綺麗、丸い"
1,34,615315,"TV09","美しい、儚い"
1,30,211056,"TV09","綺麗だ、輝く"
1,33,837258,"TV09","綺麗な、美しい、儚い"
1,40,236761,"TV09","キレイ、美しい、澄んでいる"
1,32,479382,"TV09","美しい、綺麗"
1,31,177114,"TV09","美しい、綺麗、高い"
2,35,487568,"TV09","きれい、丸い、輝いている"
1,39,131627,"TV09","綺麗だ、神秘だ"
2,30,214891,"TV09","繊細、儚い"
2,42,938806,"TV09","丸い、あふれる"
1,51,459279,"TV09","悲しい、女性的な、ロマンティックな"
2,42,618221,"TV10","はかない、繊細な"
2,38,854398,"TV10","繊細だ、美しい、壊れそうだ"
1,44,596296,"TV10","痛い、冷たい、硬い"
1,28,714743,"TV10","綺麗な、美しい"
1,44,966384,"TV10","透明な、美しい、白い"
2,28,619505,"TV10","細かい、綺麗だ"
1,44,926083,"TV10","寒い、長い、固い"
1,25,643750,"TV10","細かい、美しい、青い"
2,30,834992,"TV10","冷たい、はかない"
2,46,596744,"TV10","美しい、自然、冷たい"
1,34,229654,"TV10","美しい、綺麗な、精密な"
1,43,687473,"TV10","美しい、冷たい"
1,45,214246,"TV10","棘だ、細い、鋭い"
1,50,974184,"TV10","きれい、細かい"
2,25,813515,"TV10","綺麗、繊細"
1,40,268448,"TV10","うつくしい、はかない"
1,41,619118,"TV10","冷たい、儚い"
2,53,379880,"TV10","綺麗だ、透明だ、美しい"
1,51,697066,"TV10","透明、研磨"
2,43,695517,"TV10","儚い、脆い、綺麗"
1,36,450316,"TV10","美しい、儚い、透き通っている"
2,47,842234,"TV10","壊れそうだ、きれいだ、光っている"
1,57,992477,"TV10","きれい、美しい"
1,43,864699,"TV10","澄んだ　綺麗な　美しい"
2,47,517718,"TV10","尖っている、透き通っている"
2,39,453182,"TV10","美しい、きれい"
2,38,737833,"TV10","繊細、綺麗"
2,49,650129,"TV10","輝く、光る、美しい"
1,35,132018,"TV10","美しい、きれい、光る"
1,30,372370,"TV10","きらめく、透明な"
2,46,417966,"TV10","儚い、細かい、美しい"
1,39,541460,"TV10","割れる、美しい"
2,38,919589,"TV10","美しい、透明"
1,63,783967,"TV10","透き通る、美しい、神秘的な"
2,29,372821,"TV10","芸術だ、自然だ、寒い"
1,45,848301,"TV10","綺麗な、神秘的な"
1,37,343791,"TV10","彫刻、芸術、きれい"
1,55,171098,"TV10","透明、造形"
1,34,615315,"TV10","冷たい、鋭い"
1,30,211056,"TV10","滑らかだ、澄んでいる"
1,33,837258,"TV10","綺麗な、脆い"
1,40,236761,"TV10","細い、冷たい、落ちる"
1,32,479382,"TV10","芸術的、自然の偉大さ"
1,31,177114,"TV10","美しい、綺麗、細い"
2,35,487568,"TV10","きれいだ、尖っている"
1,39,131627,"TV10","みずみずしい、青い"
2,30,214891,"TV10","脆い、儚い"
2,42,938806,"TV10","繊細な、きらびやかだ"
1,51,459279,"TV10","透明な、美しい、割れる"
2,42,618221,"TV11","暗い、くすんだ"
2,38,854398,"TV11","暗い、しんどい"
1,44,596296,"TV11","暗い、辛い、悲しい"
1,28,714743,"TV11","暗黒な、怪しい"
1,44,966384,"TV11","モヤモヤする、暗い、不透明だ"
2,28,619505,"TV11","怪しい、濁っている"
1,44,926083,"TV11","低い、重たい、ばやける"
1,25,643750,"TV11","黒い、暗い、滲んでいる"
2,30,834992,"TV11","薄暗い、不安だ"
2,46,596744,"TV11","どんより、暗い、憂鬱な"
1,34,229654,"TV11","暗い、怪しい、魅惑的な"
1,43,687473,"TV11","うす暗い、冷たい"
1,45,214246,"TV11","薄暗い、冷たい、遠い"
1,50,974184,"TV11","煙っている、冷たい"
2,25,813515,"TV11","沈んでいる、暗い気持ち"
1,40,268448,"TV11","黒い、きたない"
1,41,619118,"TV11","暗い、冷たい、黒い"
2,53,379880,"TV11","汚い、薄暗い、恐ろしい"
1,51,697066,"TV11","追悼する、涙、急ぐ"
2,43,695517,"TV11","小雨、霧雨、曇天"
1,36,450316,"TV11","暗い、ぼんやり、濁る"
2,47,842234,"TV11","暗い、さえぎる、薄い"
1,57,992477,"TV11","どんよりした、気持ちが沈む"
1,43,864699,"TV11","滲んだ　悲しいみの　地を染める"
2,47,517718,"TV11","どんよりしている、立ち込めている"
2,39,453182,"TV11","薄い、暗い"
2,38,737833,"TV11","儚げ、薄暗さ"
2,49,650129,"TV11","湿る、暗い、黒い"
1,35,132018,"TV11","薄い、立ち込める、怖い"
1,30,372370,"TV11","暗い、不穏な、湿った"
2,46,417966,"TV11","黒い、怖い、おどろおどろしい"
1,39,541460,"TV11","薄暗い、鬱陶しい"
2,38,919589,"TV11","薄暗い、憂鬱"
1,63,783967,"TV11","暗い、憂鬱な、重たい"
2,29,372821,"TV11","暗い、気味が悪い"
1,45,848301,"TV11","どんよりと、薄暗い"
1,37,343791,"TV11","不気味だ、覆い尽くす"
1,55,171098,"TV11","どんより、灰色"
1,34,615315,"TV11","暗い、滲んだ"
1,30,211056,"TV11","薄暗い、広がる"
1,33,837258,"TV11","灰色の、怪しい、不気味な"
1,40,236761,"TV11","暗い、冷たい"
1,32,479382,"TV11","鼠色、不気味"
1,31,177114,"TV11","綺麗、大きい、怖い"
2,35,487568,"TV11","灰色だ、滴る"
1,39,131627,"TV11","不気味だ、不安だ"
2,30,214891,"TV11","暗い、重い"
2,42,938806,"TV11","暗い、粗末な"
1,51,459279,"TV11","湿った、灰色の、不安な"
2,42,618221,"TV12","四角い、かたい"
2,38,854398,"TV12","壊れる、危険だ"
1,44,596296,"TV12","四角い、高い、甘い"
1,28,714743,"TV12","崩れる、潰れる"
1,44,966384,"TV12","四角い、白い、同じような"
2,28,619505,"TV12","角ばっている、四角だ"
1,44,926083,"TV12","大きい、四角い、甘い"
1,25,643750,"TV12","四角い、硬い、白い"
2,30,834992,"TV12","規則正しい、整っている、"
2,46,596744,"TV12","もろい、壊れやすい"
1,34,229654,"TV12","甘い、固い、四角い"
1,43,687473,"TV12","弱い、もろい"
1,45,214246,"TV12","崩れやすい、崩壊しやすい、壊れやすい"
1,50,974184,"TV12","もろい、壊れやすい"
2,25,813515,"TV12","厳しい、固い"
1,40,268448,"TV12","四角い、白い"
1,41,619118,"TV12","脆い、危うい、甘い"
2,53,379880,"TV12","脆い、危うい、壊れる"
1,51,697066,"TV12","甘い、溶ける、白い"
2,43,695517,"TV12","脆い、危険"
1,36,450316,"TV12","角張っている、脆い、崩れる"
2,47,842234,"TV12","四角い、白い、かたい"
1,57,992477,"TV12","白い、もろい"
1,43,864699,"TV12","脆い　甘い　硬い"
2,47,517718,"TV12","四角い、重なり合う"
2,39,453182,"TV12","甘い、脆い"
2,38,737833,"TV12","整然とした、白さ"
2,49,650129,"TV12","四角い、脆い、必要だ"
1,35,132018,"TV12","四角い、冷たい"
1,30,372370,"TV12","崩れる、脆い"
2,46,417966,"TV12","脆い、溶ける、四角い"
1,39,541460,"TV12","脆い、壊れる"
